city;city_ascii;state_name;county_name;norte-sur
Castle Hill;Castle Hill;California;Contra Costa;norte
Castro Valley;Castro Valley;California;Alameda;norte
Castroville;Castroville;California;Monterey;norte
Catheys Valley;Catheys Valley;California;Mariposa;norte
Cazadero;Cazadero;California;Sonoma;norte
Cedar Ridge;Cedar Ridge;California;Tuolumne;norte
Cedarville;Cedarville;California;Modoc;norte
Centerville;Centerville;California;Fresno;norte
Ceres;Ceres;California;Stanislaus;norte
Chalfant;Chalfant;California;Mono;norte
Challenge-Brownsville;Challenge-Brownsville;California;Yuba;norte
Cherokee;Cherokee;California;Butte;norte
Cherryland;Cherryland;California;Alameda;norte
Chester;Chester;California;Plumas;norte
Chico;Chico;California;Butte;norte
Chilcoot-Vinton;Chilcoot-Vinton;California;Plumas;norte
Chinese Camp;Chinese Camp;California;Tuolumne;norte
Chowchilla;Chowchilla;California;Madera;norte
Chualar;Chualar;California;Monterey;norte
Citrus Heights;Citrus Heights;California;Sacramento;norte
Clarksburg;Clarksburg;California;Yolo;norte
Clay;Clay;California;Sacramento;norte
Clayton;Clayton;California;Contra Costa;norte
Clear Creek;Clear Creek;California;Lassen;norte
Clearlake;Clearlake;California;Lake;norte
Clearlake Oaks;Clearlake Oaks;California;Lake;norte
Clearlake Riviera;Clearlake Riviera;California;Lake;norte
Cleone;Cleone;California;Mendocino;norte
Clio;Clio;California;Plumas;norte
Clipper Mills;Clipper Mills;California;Butte;norte
Cloverdale;Cloverdale;California;Sonoma;norte
Clovis;Clovis;California;Fresno;norte
Clyde;Clyde;California;Contra Costa;norte
Coalinga;Coalinga;California;Fresno;norte
Coarsegold;Coarsegold;California;Madera;norte
Cobb;Cobb;California;Lake;norte
Coffee Creek;Coffee Creek;California;Trinity;norte
Cohasset;Cohasset;California;Butte;norte
Cold Springs;Cold Springs;California;El Dorado;norte
Coleville;Coleville;California;Mono;norte
Colfax;Colfax;California;Placer;norte
College City;College City;California;Colusa;norte
Collierville;Collierville;California;San Joaquin;norte
Colma;Colma;California;San Mateo;norte
Coloma;Coloma;California;El Dorado;norte
Columbia;Columbia;California;Tuolumne;norte
Colusa;Colusa;California;Colusa;norte
Comptche;Comptche;California;Mendocino;norte
Concord;Concord;California;Contra Costa;norte
Concow;Concow;California;Butte;norte
Contra Costa Centre;Contra Costa Centre;California;Contra Costa;norte
Copperopolis;Copperopolis;California;Calaveras;norte
Corcoran;Corcoran;California;Kings;norte
Corning;Corning;California;Tehama;norte
Corralitos;Corralitos;California;Santa Cruz;norte
Corte Madera;Corte Madera;California;Marin;norte
Cotati;Cotati;California;Sonoma;norte
Cottonwood;Cottonwood;California;Shasta;norte
Coulterville;Coulterville;California;Mariposa;norte
Country Club;Country Club;California;San Joaquin;norte
Courtland;Courtland;California;Sacramento;norte
Covelo;Covelo;California;Mendocino;norte
Cowan;Cowan;California;Stanislaus;norte
Crescent City;Crescent City;California;Del Norte;norte
Crescent Mills;Crescent Mills;California;Plumas;norte
Cressey;Cressey;California;Merced;norte
C-Road;C-Road;California;Plumas;norte
Crockett;Crockett;California;Contra Costa;norte
Cromberg;Cromberg;California;Plumas;norte
Crowley Lake;Crowley Lake;California;Mono;norte
Crows Landing;Crows Landing;California;Stanislaus;norte
Cupertino;Cupertino;California;Santa Clara;norte
Cutler;Cutler;California;Tulare;norte
Cutten;Cutten;California;Humboldt;norte
Daly City;Daly City;California;San Mateo;norte
Danville;Danville;California;Contra Costa;norte
Daphnedale Park;Daphnedale Park;California;Modoc;norte
Darwin;Darwin;California;Inyo;norte
Davenport;Davenport;California;Santa Cruz;norte
Davis;Davis;California;Yolo;norte
Day Valley;Day Valley;California;Santa Cruz;norte
Deer Park;Deer Park;California;Napa;norte
Del Monte Forest;Del Monte Forest;California;Monterey;norte
Del Rey;Del Rey;California;Fresno;norte
Del Rey Oaks;Del Rey Oaks;California;Monterey;norte
Del Rio;Del Rio;California;Stanislaus;norte
Delft Colony;Delft Colony;California;Tulare;norte
Delhi;Delhi;California;Merced;norte
Delleker;Delleker;California;Plumas;norte
Denair;Denair;California;Stanislaus;norte
Diablo;Diablo;California;Contra Costa;norte
Diablo Grande;Diablo Grande;California;Stanislaus;norte
Diamond Springs;Diamond Springs;California;El Dorado;norte
Dillon Beach;Dillon Beach;California;Marin;norte
Dinuba;Dinuba;California;Tulare;norte
Discovery Bay;Discovery Bay;California;Contra Costa;norte
Dixon;Dixon;California;Solano;norte
Dixon Lane-Meadow Creek;Dixon Lane-Meadow Creek;California;Inyo;norte
Dobbins;Dobbins;California;Yuba;norte
Dogtown;Dogtown;California;San Joaquin;norte
Dollar Point;Dollar Point;California;Placer;norte
Dorrington;Dorrington;California;Calaveras;norte
Dorris;Dorris;California;Siskiyou;norte
Dos Palos;Dos Palos;California;Merced;norte
Dos Palos Y;Dos Palos Y;California;Merced;norte
Douglas City;Douglas City;California;Trinity;norte
Downieville;Downieville;California;Sierra;norte
Doyle;Doyle;California;Lassen;norte
Drytown;Drytown;California;Amador;norte
Dublin;Dublin;California;Alameda;norte
Ducor;Ducor;California;Tulare;norte
Dunnigan;Dunnigan;California;Yolo;norte
Dunsmuir;Dunsmuir;California;Siskiyou;norte
Durham;Durham;California;Butte;norte
Dutch Flat;Dutch Flat;California;Placer;norte
